config,decode_width,issue_alu,issue_slow,slow_latency,workload,instructions,cycles,ipc
decode1_dualpath,1,1,1,4,independent_balanced,240,248,0.967742
decode1_dualpath,1,1,1,4,serial_raw_chain,240,1322,0.181543
decode1_dualpath,1,1,1,4,mixed_pair_chains,240,251,0.956175
decode1_dualpath,1,1,1,4,slow_path_pressure,240,248,0.967742
decode1_dualpath,1,1,1,4,alu_raw_chain,240,962,0.249480
decode1_dualpath_lat2,1,1,1,2,independent_balanced,240,246,0.975610
decode1_dualpath_lat2,1,1,1,2,serial_raw_chain,240,1082,0.221811
decode1_dualpath_lat2,1,1,1,2,mixed_pair_chains,240,249,0.963855
decode1_dualpath_lat2,1,1,1,2,slow_path_pressure,240,246,0.975610
decode1_dualpath_lat2,1,1,1,2,alu_raw_chain,240,962,0.249480
decode1_dualpath_lat8,1,1,1,8,independent_balanced,240,252,0.952381
decode1_dualpath_lat8,1,1,1,8,serial_raw_chain,240,1802,0.133185
decode1_dualpath_lat8,1,1,1,8,mixed_pair_chains,240,255,0.941176
decode1_dualpath_lat8,1,1,1,8,slow_path_pressure,240,252,0.952381
decode1_dualpath_lat8,1,1,1,8,alu_raw_chain,240,962,0.249480
balanced_2wide,2,1,1,4,independent_balanced,240,128,1.875000
balanced_2wide,2,1,1,4,serial_raw_chain,240,1322,0.181543
balanced_2wide,2,1,1,4,mixed_pair_chains,240,193,1.243523
balanced_2wide,2,1,1,4,slow_path_pressure,240,254,0.944882
balanced_2wide,2,1,1,4,alu_raw_chain,240,962,0.249480
balanced_4wide,4,2,2,4,independent_balanced,240,68,3.529412
balanced_4wide,4,2,2,4,serial_raw_chain,240,1322,0.181543
balanced_4wide,4,2,2,4,mixed_pair_chains,240,99,2.424242
balanced_4wide,4,2,2,4,slow_path_pressure,240,130,1.846154
balanced_4wide,4,2,2,4,alu_raw_chain,240,962,0.249480
alu_heavy_4wide,4,3,1,4,independent_balanced,240,128,1.875000
alu_heavy_4wide,4,3,1,4,serial_raw_chain,240,1322,0.181543
alu_heavy_4wide,4,3,1,4,mixed_pair_chains,240,72,3.333333
alu_heavy_4wide,4,3,1,4,slow_path_pressure,240,252,0.952381
alu_heavy_4wide,4,3,1,4,alu_raw_chain,240,962,0.249480
balanced_2wide_lat2,2,1,1,2,independent_balanced,240,126,1.904762
balanced_2wide_lat2,2,1,1,2,serial_raw_chain,240,1082,0.221811
balanced_2wide_lat2,2,1,1,2,mixed_pair_chains,240,193,1.243523
balanced_2wide_lat2,2,1,1,2,slow_path_pressure,240,246,0.975610
balanced_2wide_lat2,2,1,1,2,alu_raw_chain,240,962,0.249480
balanced_2wide_lat8,2,1,1,8,independent_balanced,240,132,1.818182
balanced_2wide_lat8,2,1,1,8,serial_raw_chain,240,1802,0.133185
balanced_2wide_lat8,2,1,1,8,mixed_pair_chains,240,193,1.243523
balanced_2wide_lat8,2,1,1,8,slow_path_pressure,240,262,0.916031
balanced_2wide_lat8,2,1,1,8,alu_raw_chain,240,962,0.249480
