config,decode_width,issue_alu,issue_slow,slow_latency,workload,instructions,cycles,ipc,speedup_vs_decode1,gain_percent
decode1_dualpath,1,1,1,4,independent_balanced,240,248,0.967742,1.000,0.0
decode1_dualpath,1,1,1,4,serial_raw_chain,240,1322,0.181543,1.000,0.0
decode1_dualpath,1,1,1,4,mixed_pair_chains,240,251,0.956175,1.000,0.0
decode1_dualpath,1,1,1,4,slow_path_pressure,240,248,0.967742,1.000,0.0
decode1_dualpath,1,1,1,4,alu_raw_chain,240,962,0.249480,1.000,0.0
decode1_dualpath_lat2,1,1,1,2,independent_balanced,240,246,0.975610,1.000,0.0
decode1_dualpath_lat2,1,1,1,2,serial_raw_chain,240,1082,0.221811,1.000,0.0
decode1_dualpath_lat2,1,1,1,2,mixed_pair_chains,240,249,0.963855,1.000,0.0
decode1_dualpath_lat2,1,1,1,2,slow_path_pressure,240,246,0.975610,1.000,0.0
decode1_dualpath_lat2,1,1,1,2,alu_raw_chain,240,962,0.249480,1.000,0.0
decode1_dualpath_lat8,1,1,1,8,independent_balanced,240,252,0.952381,1.000,0.0
decode1_dualpath_lat8,1,1,1,8,serial_raw_chain,240,1802,0.133185,1.000,0.0
decode1_dualpath_lat8,1,1,1,8,mixed_pair_chains,240,255,0.941176,1.000,0.0
decode1_dualpath_lat8,1,1,1,8,slow_path_pressure,240,252,0.952381,1.000,0.0
decode1_dualpath_lat8,1,1,1,8,alu_raw_chain,240,962,0.249480,1.000,0.0
balanced_2wide,2,1,1,4,independent_balanced,240,128,1.875000,1.937,93.7
balanced_2wide,2,1,1,4,serial_raw_chain,240,1322,0.181543,1.000,0.0
balanced_2wide,2,1,1,4,mixed_pair_chains,240,193,1.243523,1.301,30.1
balanced_2wide,2,1,1,4,slow_path_pressure,240,254,0.944882,0.976,-2.4
balanced_2wide,2,1,1,4,alu_raw_chain,240,962,0.249480,1.000,0.0
balanced_4wide,4,2,2,4,independent_balanced,240,68,3.529412,3.647,264.7
balanced_4wide,4,2,2,4,serial_raw_chain,240,1322,0.181543,1.000,0.0
balanced_4wide,4,2,2,4,mixed_pair_chains,240,99,2.424242,2.535,153.5
balanced_4wide,4,2,2,4,slow_path_pressure,240,130,1.846154,1.908,90.8
balanced_4wide,4,2,2,4,alu_raw_chain,240,962,0.249480,1.000,0.0
alu_heavy_4wide,4,3,1,4,independent_balanced,240,128,1.875000,1.937,93.7
alu_heavy_4wide,4,3,1,4,serial_raw_chain,240,1322,0.181543,1.000,0.0
alu_heavy_4wide,4,3,1,4,mixed_pair_chains,240,72,3.333333,3.486,248.6
alu_heavy_4wide,4,3,1,4,slow_path_pressure,240,252,0.952381,0.984,-1.6
alu_heavy_4wide,4,3,1,4,alu_raw_chain,240,962,0.249480,1.000,0.0
balanced_2wide_lat2,2,1,1,2,independent_balanced,240,126,1.904762,1.952,95.2
balanced_2wide_lat2,2,1,1,2,serial_raw_chain,240,1082,0.221811,1.000,0.0
balanced_2wide_lat2,2,1,1,2,mixed_pair_chains,240,193,1.243523,1.290,29.0
balanced_2wide_lat2,2,1,1,2,slow_path_pressure,240,246,0.975610,1.000,0.0
balanced_2wide_lat2,2,1,1,2,alu_raw_chain,240,962,0.249480,1.000,0.0
balanced_2wide_lat8,2,1,1,8,independent_balanced,240,132,1.818182,1.909,90.9
balanced_2wide_lat8,2,1,1,8,serial_raw_chain,240,1802,0.133185,1.000,0.0
balanced_2wide_lat8,2,1,1,8,mixed_pair_chains,240,193,1.243523,1.321,32.1
balanced_2wide_lat8,2,1,1,8,slow_path_pressure,240,262,0.916031,0.962,-3.8
balanced_2wide_lat8,2,1,1,8,alu_raw_chain,240,962,0.249480,1.000,0.0
